Breed ,Dog_Size,Dog_Breed_Group,Height,Avg_Height,Weight,Avg_Weight,Avg_weight_kg,Life_Span,Avg_Life_Span,Adaptability,Apartment_Living,Novice_Owners,Sensitivity,Tolerates_Being_Alone,Cold_Weather,Hot_Weather,Overall_Friendliness,Affectionate_Family,Kid_Friendly,Dog_Friendly,Friendly_To_Strangers,Health_Grooming_Needs,Shedding,Drooling,Easy_To_Groom,Health,Weight_Gain,Size,Trainability,Easy_To_Train,Intelligence,Mouthiness,Prey_Drive,Bark_Tendency,Wanderlust,Physical_Needs,Energy_Level,Intensity,Exercise,Playfulness,Image
Afador,Very Large,Mixed Breed Dogs,20 to 29 inches,62.23,50 to 75 pounds,62,28.12,10 to 12 years,11,2.4,1,1,3,3,4,2,3,4,2,3,1,3.2,4,3,2,3,4,4,3.6,1,5,4,4,4,4,4,4,4,4,3,https://www.dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-cover-650x368.jpg
Affenhuahua,Small,Mixed Breed Dogs,6 to 12 inches,22.86,4 to 12 pounds,8,3.6,13 to 18 years,16,3,4,4,4,1,2,3,3,4,3,2,2,3.2,2,1,4,4,5,1,3.2,3,3,4,2,4,2,3.33,4,3,3,3,https://www.dogtime.com/assets/uploads/2020/02/affenhuahua-mixed-dog-breed-pictures-COVER-650x368.jpg
Affenpinscher,Small,Companion Dogs,9 to 11 inches tall at the shoulder,25.4,7 to 9 pounds,8,3.6,12 to 14 years,13,3.2,5,4,3,1,3,3,3.33,5,1,4,3,2.4,1,1,3,4,3,1,3,2,4,4,3,2,2,3.33,4,3,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_23096_affenpinscher-300x189.jpg
Afghan Hound,Very Large,Hound Dogs,24 to 26 inches tall at the shoulder,63.5,50 to 60 pounds,55,24.75,10 to 12 years,11,4,5,3,5,2,5,5,4.67,5,5,4,2,2,4,1,1,3,1,4,3,1,4,3,5,2,5,3.67,5,2,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23004_afghan-hound-300x189.jpg
Airedale Terrier,Very Large,Terrier Dogs,21 to 23 inches tall at the shoulder,55.88,40 to 65 pounds,52,23.62,10 to 13 years,12,2.2,1,2,3,2,3,3,4,4,4,4,3,2.4,2,1,2,3,4,3,4.6,4,5,5,5,4,4,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23050_airedale-terrier-300x189.jpg
Akbash,Very Large,Working Dogs,27 to 34 inches,77.47,75 to 140 pounds,107,48.38,10 to 12 years,11,2.8,1,2,3,4,4,2,4,5,4,3,2,3.4,4,2,3,4,4,4,2.8,3,4,3,1,3,1,2,2,2,2,3,https://www.dogtime.com/assets/uploads/2019/12/akbash-dog-breed-pictures-cover-650x368.jpg
Akita,Very Large,Working Dogs,24 inches to 28 tall at the shoulder,66.04,70 to 130 pounds,99,45,10 to 12 years,11,3,2,2,5,1,5,2,2.33,5,1,1,2,3.8,5,5,1,4,4,4,3.4,2,3,3,4,5,4,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_22906_akita-300x189.jpg
Akita Chow,Very Large,Mixed Breed Dogs,23 to 25 inches,60.96,88 to 145 pounds,116,52.42,10 to 12 years ,11,2.8,2,1,4,2,5,2,1,1,1,1,2,2.8,4,3,1,2,4,4,3,2,4,3,4,2,3,4,4,4,4,2,https://www.dogtime.com/assets/uploads/2020/04/akita-chow-mixed-dog-breed-pictures-cover-650x368.jpg
Akita Pit,Very Large,Mixed Breed Dogs,16 to 23 inches,49.53,30 to 70 pounds,50,22.5,10 to 12 years,11,2.6,3,1,2,4,3,3,3.33,4,3,3,2,3.6,3,3,4,4,4,4,3.4,3,4,3,4,3,1,3.33,3,4,3,3,https://www.dogtime.com/assets/uploads/2020/02/akita-pit-mixed-dog-breed-pictures-COVER-650x368.jpg
Akita Shepherd,Very Large,Mixed Breed Dogs,24 to 28 inches,66.04,75 to 120 pounds,97,43.88,10 to 13 years,12,3,3,3,2,3,4,3,3.33,4,3,3,3,3,4,2,3,3,3,4,2.8,4,4,2,3,1,2,3.33,3,3,4,3,https://www.dogtime.com/assets/uploads/2020/03/akita-shepherd-mixed-dog-breed-pictures-cover-650x368.jpg
